Month,pdnd,nipo,ripo,turn,cefd,se,sd
200907,-2.38,4,.,1.063,10.38,5237,39405
200908,-2.31,5,6.2,1.029,11.07,10709,47191
200909,-2.37,12,13.8,1.135,9.22,16580,77706
200910,0.38,13,0.3,1.165,10.96,7398,40370
200911,0.18,11,12.2,0.986,11.25,7666,58519
200912,-2.64,7,1.8,0.883,10.05,59295,44914
201001,-1.58,12,-3.5,1.049,8.47,7225,33019
201002,-2.51,8,0.9,1.085,10.03,8198,45153
201003,-3.85,15,12.5,0.919,8.87,13263,71298
201004,-6.46,16,2.1,1.064,7.62,13366,29670
201005,-7.28,14,8.3,1.45,8.99,6607,33251
201006,-6.3,15,6.9,1.254,7.71,12286,39648
201007,-5.73,15,12.3,1.071,8.75,8876,36629
201008,-5.06,16,14.1,0.95,7.99,9881,63458
201009,-7.18,15,11.5,0.948,7.51,8642,73482
201010,-9.82,25,11.6,0.927,7.28,9020,43301
201011,-10.12,26,10.5,0.935,9.11,9020,43301
201012,-10.45,20,8.7,0.781,9.58,9020,43301
