,total_profit,no_profit_trade,no_loss_trade,no_long_trade, no_short_trade,no_long_profit, no_short_profit, no_long_loss, no_short_loss, test_stats
3M,1.63763111106,146.0,168.0,158.0,156.0,79.0,67.0,79.0,89.0,43.1747930619
ACE,1.23018253527,165.0,188.0,177.0,176.0,85.0,80.0,92.0,96.0,28.1003377127
AES,5.57340141048,153.0,169.0,161.0,161.0,86.0,67.0,75.0,94.0,52.1387479383
