,total_profit,no_profit_trade,no_loss_trade,no_long_trade, no_short_trade,no_long_profit, no_short_profit, no_long_loss, no_short_loss, test_stats
3M,1.98165504817,163.0,140.0,153.0,150.0,87.0,76.0,66.0,74.0,71.2417496197
ACE,3.22734066333,181.0,156.0,171.0,166.0,98.0,83.0,73.0,83.0,90.3965332257
AES,4.14164676749,159.0,146.0,153.0,152.0,94.0,65.0,59.0,87.0,78.1625332784
