,total_profit,no_profit_trade,no_loss_trade,no_long_trade, no_short_trade,no_long_profit, no_short_profit, no_long_loss, no_short_loss, test_stats
3M,1.82566857736,161.0,141.0,152.0,150.0,85.0,76.0,67.0,74.0,66.7273203308
ACE,3.22317925074,179.0,155.0,169.0,165.0,96.0,83.0,73.0,82.0,91.7305823109
AES,3.79483140942,156.0,149.0,153.0,152.0,93.0,63.0,60.0,89.0,74.6456338388
